model,price,transmission,mileage,fuelType,age,engineSize
 Focus,23698,Manual,5003,Diesel,2,1.26
 Focus,23695,Automatic,3541,Diesel,2,1.14
 Focus,23500,Manual,50,Petrol,1,1
 Focus,23495,Manual,9000,Petrol,2,1.32
 Focus,23000,Automatic,16700,Petrol,2,1.14
 Focus,22998,Automatic,7030,Diesel,2,1.14
 Focus,22995,Manual,5817,Petrol,1,1
 Focus,22992,Manual,17515,Petrol,5,1.32
 Focus,22990,Automatic,185,Diesel,1,1.14
 Focus,22750,Manual,550,Petrol,1,1.14
 Focus,22660,Automatic,2992,Diesel,2,1.26
 Focus,22660,Automatic,2992,Diesel,2,1.26
 Focus,22660,Automatic,2992,Diesel,2,1.26
 Focus,22660,Automatic,2992,Diesel,2,1.26
 Focus,22510,Automatic,5662,Diesel,2,1.26
 Focus,22510,Automatic,5662,Diesel,2,1.26
 Focus,22510,Automatic,5662,Diesel,2,1.26
 Focus,22510,Automatic,5662,Diesel,2,1.26
 Focus,22500,Manual,200,Petrol,1,1
 Focus,22499,Manual,21000,Petrol,5,1.32
 Focus,22498,Manual,9,Diesel,2,1.14
 Focus,22495,Automatic,4294,Diesel,2,1.26
 Focus,22490,Manual,3492,Petrol,1,1
 Focus,22390,Manual,28794,Petrol,5,1.32
 Focus,22150,Automatic,3024,Diesel,2,1.26
 Focus,22150,Automatic,3024,Diesel,2,1.26
 Focus,22150,Automatic,3024,Diesel,2,1.26
 Focus,22150,Automatic,3024,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Manual,50,Petrol,1,1
 Focus,22000,Automatic,13917,Diesel,2,1.26
 Focus,22000,Automatic,1661,Petrol,2,1.14
 Focus,22000,Automatic,17,Petrol,2,1
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Manual,36437,Petrol,4,1.32
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,22000,Automatic,4855,Diesel,2,1.26
 Focus,21995,Manual,10,Petrol,2,1
 Focus,21990,Automatic,1955,Diesel,1,1.26
 Focus,21972,Manual,1011,Petrol,2,1
 Focus,21925,Automatic,5998,Diesel,2,1.26
 Focus,21798,Manual,3774,Petrol,3,1.26
 Focus,21750,Automatic,3906,Petrol,2,1.14
 Focus,21680,Automatic,7846,Diesel,2,1.26
 Focus,21680,Automatic,4677,Diesel,2,1.26
 Focus,21680,Automatic,7846,Diesel,2,1.26
 Focus,21680,Automatic,4677,Diesel,2,1.26
 Focus,21680,Automatic,7846,Diesel,2,1.26
 Focus,21680,Automatic,4677,Diesel,2,1.26
 Focus,21680,Automatic,4677,Diesel,2,1.26
 Focus,21680,Automatic,7846,Diesel,2,1.26
 Focus,21660,Automatic,3212,Diesel,2,1.26
 Focus,21660,Automatic,3212,Diesel,2,1.26
 Focus,21660,Automatic,3212,Diesel,2,1.26
 Focus,21660,Automatic,3212,Diesel,2,1.26
 Focus,21570,Automatic,8566,Diesel,2,1.26
 Focus,21570,Automatic,8566,Diesel,2,1.26
 Focus,21570,Automatic,6348,Diesel,2,1.26
 Focus,21570,Automatic,8566,Diesel,2,1.26
 Focus,21570,Automatic,6348,Diesel,2,1.26
 Focus,21570,Automatic,6348,Diesel,2,1.26
 Focus,21570,Automatic,6348,Diesel,2,1.26
 Focus,21570,Automatic,8566,Diesel,2,1.26
 Focus,21500,Manual,44482,Petrol,12,1.36
 Focus,21499,Manual,807,Diesel,1,1.14
 Focus,21490,Manual,295,Petrol,1,1
 Focus,21450,Automatic,6501,Petrol,2,1.14
 Focus,21450,Manual,3896,Petrol,3,1.26
 Focus,21420,Automatic,3655,Diesel,2,1.26
 Focus,21420,Automatic,3655,Diesel,2,1.26
 Focus,21420,Automatic,3655,Diesel,2,1.26
 Focus,21420,Automatic,3655,Diesel,2,1.26
 Focus,21350,Automatic,2314,Petrol,2,1.14
 Focus,21199,Manual,6101,Petrol,3,1.26
 Focus,21080,Automatic,8418,Diesel,2,1.26
 Focus,21080,Automatic,8418,Diesel,2,1.26
 Focus,21080,Automatic,8418,Diesel,2,1.26
 Focus,21080,Automatic,8418,Diesel,2,1.26
 Focus,21000,Manual,52,Petrol,1,1
 Focus,20999,Manual,15000,Petrol,2,1.14
 Focus,20999,Manual,3805,Petrol,2,1.14
 Focus,20999,Manual,1501,Diesel,1,1.14
 Focus,20999,Automatic,7,Petrol,1,1
 Focus,20998,Manual,5757,Petrol,3,1.26
 Focus,20995,Manual,965,Petrol,3,1
 Focus,20993,Manual,1813,Petrol,2,1
 Focus,20991,Automatic,3767,Diesel,1,1.14
 Focus,20991,Manual,6833,Petrol,3,1.26
 Focus,20991,Manual,6833,Petrol,3,1.26
 Focus,20990,Manual,7122,Petrol,3,1.26
 Focus,20990,Manual,1853,Petrol,1,1
 Focus,20980,Manual,6999,Petrol,2,1
 Focus,20950,Automatic,6428,Diesel,2,1.26
 Focus,20950,Automatic,6428,Diesel,2,1.26
 Focus,20950,Automatic,6428,Diesel,2,1.26
 Focus,20950,Automatic,6428,Diesel,2,1.26
 Focus,20905,Automatic,1904,Diesel,2,1.14
 Focus,20905,Automatic,1904,Diesel,2,1.14
 Focus,20905,Automatic,1904,Diesel,2,1.14
 Focus,20905,Automatic,1904,Diesel,2,1.14
 Focus,20900,Manual,12307,Petrol,3,1.26
 Focus,20795,Automatic,7000,Diesel,2,1.26
 Focus,20695,Automatic,1561,Diesel,2,1.26
 Focus,20660,Automatic,13733,Diesel,2,1.26
 Focus,20660,Automatic,13733,Diesel,2,1.26
 Focus,20660,Automatic,13733,Diesel,2,1.26
 Focus,20660,Automatic,13733,Diesel,2,1.26
 Focus,20599,Manual,2994,Petrol,2,1.14
 Focus,20570,Automatic,6797,Petrol,2,1.14
 Focus,20570,Automatic,6797,Petrol,2,1.14
 Focus,20570,Automatic,6797,Petrol,2,1.14
 Focus,20570,Automatic,6797,Petrol,2,1.14
 Focus,20500,Manual,7305,Petrol,3,1.26
 Focus,20500,Manual,6004,Petrol,3,1.26
 Focus,20500,Automatic,1868,Petrol,1,1.14
 Focus,20499,Manual,4391,Petrol,3,1.26
 Focus,20499,Manual,18482,Petrol,3,1.26
 Focus,20499,Manual,3572,Diesel,2,1.26
 Focus,20498,Manual,10249,Petrol,3,1.26
 Focus,20498,Automatic,9987,Diesel,2,1.14
 Focus,20491,Manual,10699,Petrol,2,1.14
 Focus,20491,Automatic,4841,Diesel,1,1.14
 Focus,20490,Automatic,6041,Diesel,1,1.14
 Focus,20480,Manual,4711,Petrol,2,1.14
 Focus,20480,Manual,4711,Petrol,2,1.14
 Focus,20480,Manual,4711,Petrol,2,1.14
 Focus,20480,Manual,4711,Petrol,2,1.14
 Focus,20435,Manual,3003,Petrol,2,1.14
 Focus,20435,Manual,3003,Petrol,2,1.14
 Focus,20435,Manual,3003,Petrol,2,1.14
 Focus,20435,Manual,3003,Petrol,2,1.14
 Focus,20400,Automatic,4365,Diesel,2,1.26
 Focus,20400,Automatic,1590,Diesel,2,1.14
 Focus,20398,Manual,6233,Diesel,2,1.14
 Focus,20391,Automatic,6050,Petrol,2,1
 Focus,20391,Automatic,2738,Diesel,1,1.14
 Focus,20390,Automatic,6644,Diesel,2,1.26
 Focus,20390,Automatic,5750,Diesel,1,1.14
 Focus,20380,Manual,6235,Diesel,2,1.26
 Focus,20370,Manual,13008,Petrol,3,1.26
 Focus,20320,Automatic,4483,Petrol,2,1.14
 Focus,20320,Automatic,4483,Petrol,2,1.14
 Focus,20320,Automatic,4483,Petrol,2,1.14
 Focus,20320,Automatic,4483,Petrol,2,1.14
 Focus,20300,Automatic,7555,Diesel,2,1.14
 Focus,20300,Automatic,7555,Diesel,2,1.14
 Focus,20300,Automatic,7555,Diesel,2,1.14
 Focus,20300,Automatic,7555,Diesel,2,1.14
 Focus,20299,Manual,6987,Petrol,3,1.26
 Focus,20285,Automatic,7529,Diesel,2,1.14
 Focus,20285,Automatic,7529,Diesel,2,1.14
 Focus,20285,Automatic,7529,Diesel,2,1.14
 Focus,20285,Automatic,7529,Diesel,2,1.14
 Focus,20275,Manual,1073,Petrol,2,1.14
 Focus,20275,Manual,1073,Petrol,2,1.14
 Focus,20275,Manual,1073,Petrol,2,1.14
 Focus,20275,Manual,1073,Petrol,2,1.14
 Focus,20199,Manual,7782,Diesel,2,1.14
 Focus,20170,Manual,100,Petrol,2,1
 Focus,20165,Manual,6928,Petrol,2,1.14
 Focus,20165,Manual,6928,Petrol,2,1.14
 Focus,20165,Manual,6928,Petrol,2,1.14
 Focus,20165,Manual,6928,Petrol,2,1.14
 Focus,20100,Manual,4062,Diesel,2,1.26
 Focus,20100,Manual,4905,Diesel,2,1.14
 Focus,20090,Automatic,10352,Diesel,2,1.26
 Focus,20000,Manual,6156,Diesel,2,1.14
 Focus,20000,Automatic,3975,Diesel,2,1.14
 Focus,20000,Automatic,5458,Diesel,2,1.26
 Focus,20000,Manual,15448,Petrol,3,1.26
 Focus,20000,Manual,3750,Petrol,2,1
 Focus,20000,Manual,13856,Petrol,3,1.26
 Focus,20000,Automatic,6290,Petrol,2,1.14
 Focus,20000,Automatic,953,Diesel,2,1.26
 Focus,20000,Manual,10,Petrol,1,1.14
 Focus,20000,Manual,13374,Petrol,3,1.26
 Focus,20000,Manual,12787,Petrol,3,1.26
 Focus,20000,Manual,9775,Petrol,3,1.26
 Focus,20000,Manual,100,Petrol,1,1
 Focus,19999,Automatic,3056,Petrol,2,1.14
 Focus,19999,Manual,10365,Petrol,3,1.26
 Focus,19999,Manual,9560,Petrol,3,1.26
 Focus,19999,Manual,7918,Petrol,3,1.26
 Focus,19999,Manual,3000,Petrol,2,0
 Focus,19998,Manual,4000,Diesel,1,1.14
 Focus,19998,Automatic,2451,Diesel,2,1.26
 Focus,19998,Automatic,6879,Diesel,2,1.26
 Focus,19998,Manual,12234,Petrol,3,1.26
 Focus,19998,Manual,16882,Petrol,3,1.26
 Focus,19995,Automatic,500,Petrol,1,1
 Focus,19995,Manual,10923,Diesel,3,1.26
 Focus,19995,Manual,12195,Petrol,3,1.26
 Focus,19995,Manual,1600,Petrol,2,1
 Focus,19995,Manual,11206,Petrol,4,1.26
 Focus,19995,Manual,12544,Petrol,2,1
 Focus,19995,Manual,9172,Petrol,2,1
 Focus,19995,Manual,130,Petrol,1,1
 Focus,19995,Automatic,6000,Diesel,2,1.26
 Focus,19991,Automatic,4998,Petrol,1,1
 Focus,19990,Automatic,5796,Diesel,2,1.14
 Focus,19990,Manual,2280,Diesel,2,1.14
 Focus,19990,Manual,2525,Petrol,1,1
 Focus,19990,Automatic,5588,Diesel,1,1.14
 Focus,19990,Manual,17049,Petrol,4,1.26
 Focus,19990,Automatic,8500,Diesel,3,1.26
 Focus,19980,Manual,6966,Petrol,2,1.14
 Focus,19980,Manual,12720,Diesel,4,1.26
 Focus,19980,Manual,10918,Petrol,4,1.26
 Focus,19979,Semi-Auto,6465,Diesel,3,1.26
 Focus,19970,Manual,1566,Petrol,2,1
 Focus,19950,Manual,5988,Petrol,3,1.26
 Focus,19950,Manual,2583,Petrol,2,1.14
 Focus,19950,Manual,1103,Petrol,2,1.14
 Focus,19950,Automatic,7142,Diesel,2,1.26
 Focus,19910,Manual,17434,Petrol,4,1.26
 Focus,19900,Manual,9196,Petrol,3,1.26
 Focus,19900,Manual,16744,Diesel,3,1.26
 Focus,19900,Automatic,942,Petrol,2,1
 Focus,19899,Manual,19485,Petrol,3,1.26
 Focus,19898,Automatic,4166,Diesel,2,1.26
 Focus,19800,Manual,3897,Petrol,2,1
 Focus,19798,Automatic,4797,Diesel,2,1.26
 Focus,19795,Manual,8918,Petrol,3,1.26
 Focus,19790,Manual,8686,Diesel,2,1.14
 Focus,19780,Automatic,9605,Diesel,2,1.14
 Focus,19766,Manual,5071,Petrol,3,1.26
 Focus,19759,Manual,10586,Petrol,3,1.26
 Focus,19747,Manual,10242,Petrol,3,1.26
 Focus,19741,Automatic,6750,Diesel,2,1.14
 Focus,19725,Manual,3309,Diesel,2,1.14
 Focus,19700,Manual,8022,Petrol,3,1.26
 Focus,19700,Automatic,2332,Petrol,2,1
 Focus,19698,Manual,12011,Petrol,3,1.26
 Focus,19698,Manual,16548,Petrol,3,1.26
 Focus,19698,Manual,20145,Petrol,3,1.26
 Focus,19690,Manual,16000,Petrol,3,1.26
 Focus,19665,Manual,8864,Diesel,2,1.26
 Focus,19665,Manual,8864,Diesel,2,1.26
 Focus,19665,Manual,8864,Diesel,2,1.26
 Focus,19665,Manual,8864,Diesel,2,1.26
 Focus,19600,Automatic,4537,Petrol,2,1.14
 Focus,19575,Automatic,8879,Diesel,2,1.14
 Focus,19575,Automatic,8879,Diesel,2,1.14
 Focus,19575,Automatic,8879,Diesel,2,1.14
 Focus,19575,Automatic,8879,Diesel,2,1.14
 Focus,19560,Automatic,201,Diesel,2,1.14
 Focus,19560,Automatic,201,Diesel,2,1.14
 Focus,19560,Automatic,201,Diesel,2,1.14
 Focus,19560,Automatic,201,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,9758,Petrol,3,1.26
 Focus,19500,Manual,6112,Petrol,3,1.26
 Focus,19500,Automatic,10679,Diesel,2,1.14
 Focus,19500,Automatic,5091,Diesel,2,1.14
 Focus,19500,Automatic,5589,Diesel,2,1.26
 Focus,19500,Automatic,3374,Diesel,2,1.14
 Focus,19500,Automatic,6307,Diesel,2,1.26
 Focus,19500,Manual,2139,Petrol,2,1
 Focus,19500,Automatic,1555,Diesel,2,1.26
 Focus,19500,Manual,9342,Petrol,4,1.26
 Focus,19500,Manual,17501,Petrol,3,1.26
 Focus,19500,Manual,16818,Petrol,3,1.26
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,10281,Petrol,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Automatic,1520,Diesel,2,1.26
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19500,Manual,3000,Diesel,2,1.14
 Focus,19499,Automatic,430,Petrol,2,1
 Focus,19499,Manual,9000,Diesel,2,1.14
 Focus,19499,Manual,13983,Petrol,3,1.26
 Focus,19498,Automatic,8692,Diesel,2,1.26
 Focus,19498,Manual,19382,Petrol,3,1.26
 Focus,19498,Automatic,6621,Diesel,2,1.26
 Focus,19498,Automatic,4551,Diesel,2,1.26
 Focus,19498,Manual,20561,Petrol,3,1.26
 Focus,19498,Manual,20781,Petrol,3,1.26
 Focus,19495,Automatic,7000,Diesel,3,1.14
 Focus,19495,Manual,8866,Petrol,4,1.26
 Focus,19494,Manual,8228,Petrol,3,1.26
 Focus,19491,Manual,10001,Petrol,3,1.26
 Focus,19490,Manual,2000,Petrol,2,1
 Focus,19490,Manual,9196,Diesel,3,1.26
 Focus,19490,Manual,500,Petrol,2,1
 Focus,19490,Automatic,729,Diesel,2,1.14
 Focus,19490,Manual,3000,Petrol,3,1.14
 Focus,19490,Manual,877,Petrol,1,1
 Focus,19489,Manual,5000,Diesel,1,1.14
 Focus,19480,Automatic,2,Diesel,1,1.14
 Focus,19450,Manual,12250,Petrol,3,1.26
 Focus,19444,Automatic,8000,Diesel,3,1.26
 Focus,19427,Manual,21863,Petrol,3,1.26
 Focus,19400,Manual,8973,Petrol,3,1.26
 Focus,19400,Manual,3507,Petrol,2,1
 Focus,19395,Manual,7506,Diesel,3,1.26
 Focus,19390,Automatic,9439,Diesel,2,1.14
 Focus,19390,Automatic,9439,Diesel,2,1.14
 Focus,19390,Automatic,9439,Diesel,2,1.14
 Focus,19390,Automatic,9439,Diesel,2,1.14
 Focus,19375,Manual,7021,Diesel,2,1.14
 Focus,19375,Manual,7021,Diesel,2,1.14
 Focus,19375,Manual,7021,Diesel,2,1.14
 Focus,19375,Manual,7021,Diesel,2,1.14
 Focus,19340,Automatic,12198,Diesel,2,1.14
 Focus,19340,Automatic,12198,Diesel,2,1.14
 Focus,19340,Automatic,12198,Diesel,2,1.14
 Focus,19340,Automatic,12198,Diesel,2,1.14
 Focus,19337,Automatic,675,Petrol,2,1
 Focus,19330,Automatic,825,Diesel,2,1.14
 Focus,19330,Automatic,825,Diesel,2,1.14
 Focus,19330,Automatic,825,Diesel,2,1.14
 Focus,19330,Automatic,825,Diesel,2,1.14
 Focus,19327,Manual,13295,Petrol,3,1.26
 Focus,19325,Automatic,5671,Diesel,2,1.26
 Focus,19320,Manual,11909,Petrol,4,1.26
 Focus,19320,Automatic,15052,Diesel,2,1.26
 Focus,19315,Automatic,4698,Diesel,2,1.26
 Focus,19315,Manual,16410,Petrol,3,1.26
 Focus,19315,Automatic,4698,Diesel,2,1.26
 Focus,19315,Automatic,4698,Diesel,2,1.26
 Focus,19315,Automatic,4698,Diesel,2,1.26
 Focus,19300,Manual,2958,Diesel,2,1.26
 Focus,19300,Automatic,2662,Diesel,2,1.14
 Focus,19300,Manual,6000,Diesel,2,1.14
 Focus,19300,Automatic,1592,Petrol,2,1
 Focus,19298,Automatic,2997,Diesel,2,1.26
 Focus,19298,Automatic,5689,Diesel,2,1.14
 Focus,19298,Manual,21362,Petrol,3,1.26
 Focus,19291,Automatic,10841,Diesel,2,1.14
 Focus,19290,Manual,12989,Petrol,4,1.26
 Focus,19240,Automatic,13890,Diesel,2,1.26
 Focus,19236,Automatic,4896,Diesel,2,1.14
 Focus,19230,Manual,2894,Petrol,2,1
 Focus,19220,Automatic,14882,Diesel,4,1.26
 Focus,19210,Manual,9024,Petrol,2,1
 Focus,19199,Manual,10611,Petrol,3,1.26
 Focus,19180,Manual,7008,Petrol,2,1
 Focus,19175,Automatic,10370,Diesel,2,1.14
 Focus,19175,Automatic,10370,Diesel,2,1.14
 Focus,19175,Automatic,10370,Diesel,2,1.14
 Focus,19175,Automatic,10370,Diesel,2,1.14
 Focus,19160,Automatic,3418,Diesel,2,1.14
 Focus,19117,Automatic,2538,Diesel,2,1.26
 Focus,19110,Manual,10018,Petrol,2,1.14
 Focus,19110,Automatic,3277,Diesel,2,1.26
 Focus,19100,Manual,7131,Petrol,4,1.26
 Focus,19093,Manual,13746,Petrol,3,1.26
 Focus,19090,Manual,2480,Petrol,2,1
 Focus,19070,Manual,4165,Petrol,2,1
 Focus,19050,Manual,4637,Petrol,2,1
 Focus,19015,Manual,10230,Diesel,2,1.14
 Focus,19015,Manual,10230,Diesel,2,1.14
 Focus,19015,Manual,10230,Diesel,2,1.14
 Focus,19015,Manual,10230,Diesel,2,1.14
 Focus,19000,Automatic,8201,Diesel,2,1.26
 Focus,19000,Manual,7124,Petrol,2,1
 Focus,19000,Manual,3756,Petrol,2,1
 Focus,19000,Manual,11717,Petrol,4,1.26
 Focus,19000,Manual,4753,Petrol,2,1
 Focus,19000,Manual,3400,Petrol,2,1
 Focus,19000,Manual,8800,Diesel,2,1.14
 Focus,19000,Manual,5672,Diesel,2,1.26
 Focus,19000,Manual,11923,Petrol,3,1.26
 Focus,19000,Semi-Auto,14976,Diesel,3,1.26
 Focus,19000,Manual,14682,Petrol,3,1.26
 Focus,19000,Automatic,12859,Petrol,2,1
 Focus,19000,Manual,3849,Petrol,2,1.14
 Focus,19000,Manual,12130,Petrol,3,1.26
 Focus,19000,Automatic,2256,Diesel,2,1.14
 Focus,19000,Manual,17127,Petrol,3,1.26
 Focus,19000,Manual,4491,Petrol,2,1
 Focus,19000,Automatic,5310,Petrol,2,1.14
 Focus,19000,Manual,8938,Petrol,4,1.26
 Focus,19000,Manual,4800,Petrol,2,1.14
 Focus,19000,Automatic,8201,Diesel,2,1.26
 Focus,19000,Automatic,8201,Diesel,2,1.26
 Focus,19000,Manual,16000,Petrol,3,1.26
 Focus,19000,Automatic,8201,Diesel,2,1.26
 Focus,18999,Automatic,2683,Petrol,1,1
 Focus,18999,Manual,2200,Petrol,2,1
 Focus,18999,Manual,20298,Diesel,3,1.26
 Focus,18999,Manual,4000,Petrol,2,1
 Focus,18999,Manual,8000,Petrol,2,1
 Focus,18999,Manual,1900,Petrol,1,1
 Focus,18999,Manual,4892,Petrol,2,1
 Focus,18999,Manual,9121,Petrol,2,1
 Focus,18999,Manual,11258,Petrol,3,1.26
 Focus,18999,Manual,15761,Petrol,3,1.26
 Focus,18999,Manual,21791,Diesel,3,1.26
 Focus,18999,Manual,3155,Petrol,2,1
 Focus,18999,Automatic,4146,Petrol,2,1.14
 Focus,18999,Manual,6696,Diesel,2,1.26
 Focus,18999,Automatic,5572,Diesel,2,1.14
